seq,date,year,status,signature,has_rodo_violation,file
1,2019-06-14,2019,PRAWOMOCNA,ZSOŚS.440.100.2018,0,by-year/2019/2019-06-14__PRAWOMOCNA__ZSOSS.440.100.2018.txt
2,2019-09-13,2019,PRAWOMOCNA,ZSOŚS.440.102.2018,0,by-year/2019/2019-09-13__PRAWOMOCNA__ZSOSS.440.102.2018.txt
3,2019-05-30,2019,PRAWOMOCNA,ZSOŚS.440.104.2018,0,by-year/2019/2019-05-30__PRAWOMOCNA__ZSOSS.440.104.2018.txt
4,2019-01-04,2019,PRAWOMOCNA,ZSOŚS.440.106.2018,0,by-year/2019/2019-01-04__PRAWOMOCNA__ZSOSS.440.106.2018.txt
5,2019-01-04,2019,PRAWOMOCNA,ZSOŚS.440.107.2018.II,0,by-year/2019/2019-01-04__PRAWOMOCNA__ZSOSS.440.107.2018.II.txt
6,2019-01-31,2019,PRAWOMOCNA,ZSOŚS.440.109.2018,0,by-year/2019/2019-01-31__PRAWOMOCNA__ZSOSS.440.109.2018.txt
7,2019-05-15,2019,PRAWOMOCNA,ZSOŚS.440.11.2018,0,by-year/2019/2019-05-15__PRAWOMOCNA__ZSOSS.440.11.2018.txt
8,2019-05-23,2019,PRAWOMOCNA,ZSOŚS.440.112.2018,0,by-year/2019/2019-05-23__PRAWOMOCNA__ZSOSS.440.112.2018.txt
9,2018-10-18,2018,PRAWOMOCNA,ZSOŚS.440.113.2018,0,by-year/2018/2018-10-18__PRAWOMOCNA__ZSOSS.440.113.2018.txt
10,2019-05-29,2019,PRAWOMOCNA,ZSOŚS.440.114.2018,0,by-year/2019/2019-05-29__PRAWOMOCNA__ZSOSS.440.114.2018.txt
11,2018-11-22,2018,PRAWOMOCNA,ZSOŚS.440.115.2018,0,by-year/2018/2018-11-22__PRAWOMOCNA__ZSOSS.440.115.2018.txt
12,2019-01-14,2019,PRAWOMOCNA,ZSOŚS.440.120.2018,0,by-year/2019/2019-01-14__PRAWOMOCNA__ZSOSS.440.120.2018.txt
13,2018-11-21,2018,PRAWOMOCNA,ZSOŚS.440.121.2018,0,by-year/2018/2018-11-21__PRAWOMOCNA__ZSOSS.440.121.2018.txt
14,2018-12-18,2018,PRAWOMOCNA,ZSOŚS.440.124.2018,0,by-year/2018/2018-12-18__PRAWOMOCNA__ZSOSS.440.124.2018.txt
15,2019-04-03,2019,PRAWOMOCNA,ZSOŚS.440.125.2018,0,by-year/2019/2019-04-03__PRAWOMOCNA__ZSOSS.440.125.2018.txt
16,2018-12-13,2018,PRAWOMOCNA,ZSOŚS.440.126.2018,0,by-year/2018/2018-12-13__PRAWOMOCNA__ZSOSS.440.126.2018.txt
17,2019-04-23,2019,PRAWOMOCNA,ZSOŚS.440.129.2018,0,by-year/2019/2019-04-23__PRAWOMOCNA__ZSOSS.440.129.2018.txt
18,2018-07-13,2018,NIEPRAWOMOCNA,ZSOŚS.440.13.2018,0,by-year/2018/2018-07-13__NIEPRAWOMOCNA__ZSOSS.440.13.2018.txt
19,2019-09-03,2019,PRAWOMOCNA,ZSOŚS.440.131.2018,0,by-year/2019/2019-09-03__PRAWOMOCNA__ZSOSS.440.131.2018.txt
20,2019-02-01,2019,PRAWOMOCNA,ZSOŚS.440.133.2018,0,by-year/2019/2019-02-01__PRAWOMOCNA__ZSOSS.440.133.2018.txt
21,2018-11-26,2018,PRAWOMOCNA,ZSOŚS.440.135.2018,0,by-year/2018/2018-11-26__PRAWOMOCNA__ZSOSS.440.135.2018.txt
22,2019-07-02,2019,PRAWOMOCNA,ZSOŚS.440.136.2018,0,by-year/2019/2019-07-02__PRAWOMOCNA__ZSOSS.440.136.2018.txt
23,2019-09-03,2019,PRAWOMOCNA,ZSOŚS.440.137.2018,0,by-year/2019/2019-09-03__PRAWOMOCNA__ZSOSS.440.137.2018.txt
24,2019-01-30,2019,PRAWOMOCNA,ZSOŚS.440.138.2018,0,by-year/2019/2019-01-30__PRAWOMOCNA__ZSOSS.440.138.2018.txt
25,2018-11-22,2018,PRAWOMOCNA,ZSOŚS.440.140.2018,0,by-year/2018/2018-11-22__PRAWOMOCNA__ZSOSS.440.140.2018.txt
26,2019-01-21,2019,PRAWOMOCNA,ZSOŚS.440.144.2018,0,by-year/2019/2019-01-21__PRAWOMOCNA__ZSOSS.440.144.2018.txt
27,2019-08-09,2019,PRAWOMOCNA,ZSOŚS.440.146.2018,0,by-year/2019/2019-08-09__PRAWOMOCNA__ZSOSS.440.146.2018.txt
28,2019-03-06,2019,PRAWOMOCNA,ZSOŚS.440.147.2018,0,by-year/2019/2019-03-06__PRAWOMOCNA__ZSOSS.440.147.2018.txt
29,2018-12-20,2018,PRAWOMOCNA,ZSOŚS.440.148.2018,0,by-year/2018/2018-12-20__PRAWOMOCNA__ZSOSS.440.148.2018.txt
30,2019-09-27,2019,PRAWOMOCNA,ZSOŚS.440.149.2018,0,by-year/2019/2019-09-27__PRAWOMOCNA__ZSOSS.440.149.2018.txt
31,2019-05-20,2019,PRAWOMOCNA,ZSOŚS.440.153.2018,0,by-year/2019/2019-05-20__PRAWOMOCNA__ZSOSS.440.153.2018.txt
32,2019-05-28,2019,PRAWOMOCNA,ZSOŚS.440.154.2018,0,by-year/2019/2019-05-28__PRAWOMOCNA__ZSOSS.440.154.2018.txt
33,2019-02-15,2019,PRAWOMOCNA,ZSOŚS.440.155.2018,0,by-year/2019/2019-02-15__PRAWOMOCNA__ZSOSS.440.155.2018.txt
34,2019-04-05,2019,PRAWOMOCNA,ZSOŚS.440.156.2018,0,by-year/2019/2019-04-05__PRAWOMOCNA__ZSOSS.440.156.2018.txt
35,2019-08-09,2019,PRAWOMOCNA,ZSOŚS.440.157.2018,0,by-year/2019/2019-08-09__PRAWOMOCNA__ZSOSS.440.157.2018.txt
36,2019-06-25,2019,PRAWOMOCNA,ZSOŚS.440.159.2018,0,by-year/2019/2019-06-25__PRAWOMOCNA__ZSOSS.440.159.2018.txt
37,2018-09-28,2018,PRAWOMOCNA,ZSOŚS.440.17.2018,0,by-year/2018/2018-09-28__PRAWOMOCNA__ZSOSS.440.17.2018.txt
38,2019-04-17,2019,PRAWOMOCNA,ZSOŚS.440.19.2018,0,by-year/2019/2019-04-17__PRAWOMOCNA__ZSOSS.440.19.2018.txt
39,2019-01-07,2019,PRAWOMOCNA,ZSOŚS.440.22.2018,0,by-year/2019/2019-01-07__PRAWOMOCNA__ZSOSS.440.22.2018.txt
40,2018-12-17,2018,PRAWOMOCNA,ZSOŚS.440.23.2018,0,by-year/2018/2018-12-17__PRAWOMOCNA__ZSOSS.440.23.2018.txt
41,2019-06-14,2019,PRAWOMOCNA,ZSOŚS.440.24.2018,0,by-year/2019/2019-06-14__PRAWOMOCNA__ZSOSS.440.24.2018.txt
42,2018-09-04,2018,PRAWOMOCNA,ZSOŚS.440.26.2018.I,0,by-year/2018/2018-09-04__PRAWOMOCNA__ZSOSS.440.26.2018.I.txt
43,2019-01-04,2019,PRAWOMOCNA,ZSOŚS.440.26.2018.II,0,by-year/2019/2019-01-04__PRAWOMOCNA__ZSOSS.440.26.2018.II.txt
44,2019-04-01,2019,PRAWOMOCNA,ZSOŚS.440.28.2018,0,by-year/2019/2019-04-01__PRAWOMOCNA__ZSOSS.440.28.2018.txt
45,2019-05-31,2019,PRAWOMOCNA,ZSOŚS.440.29.2018,0,by-year/2019/2019-05-31__PRAWOMOCNA__ZSOSS.440.29.2018.txt
46,2019-08-29,2019,PRAWOMOCNA,ZSOŚS.440.30.2018,0,by-year/2019/2019-08-29__PRAWOMOCNA__ZSOSS.440.30.2018.txt
47,2019-09-06,2019,PRAWOMOCNA,ZSOŚS.440.37.2018,0,by-year/2019/2019-09-06__PRAWOMOCNA__ZSOSS.440.37.2018.txt
48,2019-07-24,2019,PRAWOMOCNA,ZSOŚS.440.39.2018.I,0,by-year/2019/2019-07-24__PRAWOMOCNA__ZSOSS.440.39.2018.I.txt
49,2019-07-24,2019,PRAWOMOCNA,ZSOŚS.440.39.2018.II,0,by-year/2019/2019-07-24__PRAWOMOCNA__ZSOSS.440.39.2018.II.txt
50,2018-11-15,2018,PRAWOMOCNA,ZSOŚS.440.40.2018,0,by-year/2018/2018-11-15__PRAWOMOCNA__ZSOSS.440.40.2018.txt
51,2019-01-30,2019,PRAWOMOCNA,ZSOŚS.440.42.2018,0,by-year/2019/2019-01-30__PRAWOMOCNA__ZSOSS.440.42.2018.txt
52,2019-01-14,2019,PRAWOMOCNA,ZSOŚS.440.43.2018,0,by-year/2019/2019-01-14__PRAWOMOCNA__ZSOSS.440.43.2018.txt
53,2018-09-14,2018,PRAWOMOCNA,ZSOŚS.440.45.2018,0,by-year/2018/2018-09-14__PRAWOMOCNA__ZSOSS.440.45.2018.txt
54,2019-05-28,2019,PRAWOMOCNA,ZSOŚS.440.49.2018,0,by-year/2019/2019-05-28__PRAWOMOCNA__ZSOSS.440.49.2018.txt
55,2019-07-24,2019,PRAWOMOCNA,ZSOŚS.440.49.2018.II,0,by-year/2019/2019-07-24__PRAWOMOCNA__ZSOSS.440.49.2018.II.txt
56,2018-11-15,2018,PRAWOMOCNA,ZSOŚS.440.5.2018,0,by-year/2018/2018-11-15__PRAWOMOCNA__ZSOSS.440.5.2018.txt
57,2018-12-17,2018,PRAWOMOCNA,ZSOŚS.440.51.2018,0,by-year/2018/2018-12-17__PRAWOMOCNA__ZSOSS.440.51.2018.txt
58,2019-03-11,2019,PRAWOMOCNA,ZSOŚS.440.52.2018,0,by-year/2019/2019-03-11__PRAWOMOCNA__ZSOSS.440.52.2018.txt
59,2018-11-22,2018,PRAWOMOCNA,ZSOŚS.440.53.2018,0,by-year/2018/2018-11-22__PRAWOMOCNA__ZSOSS.440.53.2018.txt
60,2018-09-18,2018,PRAWOMOCNA,ZSOŚS.440.54.2018,0,by-year/2018/2018-09-18__PRAWOMOCNA__ZSOSS.440.54.2018.txt
61,2018-10-18,2018,PRAWOMOCNA,ZSOŚS.440.57.2018,0,by-year/2018/2018-10-18__PRAWOMOCNA__ZSOSS.440.57.2018.txt
62,2018-11-15,2018,PRAWOMOCNA,ZSOŚS.440.58.2018,0,by-year/2018/2018-11-15__PRAWOMOCNA__ZSOSS.440.58.2018.txt
63,2018-10-11,2018,PRAWOMOCNA,ZSOŚS.440.60.2018,0,by-year/2018/2018-10-11__PRAWOMOCNA__ZSOSS.440.60.2018.txt
64,2019-03-19,2019,PRAWOMOCNA,ZSOŚS.440.61.2018,0,by-year/2019/2019-03-19__PRAWOMOCNA__ZSOSS.440.61.2018.txt
65,2018-10-26,2018,PRAWOMOCNA,ZSOŚS.440.62.2018,0,by-year/2018/2018-10-26__PRAWOMOCNA__ZSOSS.440.62.2018.txt
