seq,date,year,status,signature,has_rodo_violation,resolution,violation,violated_requirement,fine,rodo_articles,file
1,2019-06-14,2019,PRAWOMOCNA,ZSOŚS.440.100.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-06-14__PRAWOMOCNA__ZSOSS.440.100.2018.txt
2,2019-09-13,2019,PRAWOMOCNA,ZSOŚS.440.102.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-09-13__PRAWOMOCNA__ZSOSS.440.102.2018.txt
3,2019-05-30,2019,PRAWOMOCNA,ZSOŚS.440.104.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-30__PRAWOMOCNA__ZSOSS.440.104.2018.txt
4,2019-01-04,2019,PRAWOMOCNA,ZSOŚS.440.106.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-01-04__PRAWOMOCNA__ZSOSS.440.106.2018.txt
5,2019-01-04,2019,PRAWOMOCNA,ZSOŚS.440.107.2018.II,0,utrzymuję w mocy zaskarżoną decyzję,brak stwierdzenia naruszenia,,,,by-year/2019/2019-01-04__PRAWOMOCNA__ZSOSS.440.107.2018.II.txt
6,2019-01-31,2019,PRAWOMOCNA,ZSOŚS.440.109.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-01-31__PRAWOMOCNA__ZSOSS.440.109.2018.txt
7,2019-05-15,2019,PRAWOMOCNA,ZSOŚS.440.11.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-15__PRAWOMOCNA__ZSOSS.440.11.2018.txt
8,2019-05-23,2019,PRAWOMOCNA,ZSOŚS.440.112.2018,0,odmawiam uwzględnienia wniosku,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-23__PRAWOMOCNA__ZSOSS.440.112.2018.txt
9,2018-10-18,2018,PRAWOMOCNA,ZSOŚS.440.113.2018,0,umarza postępowanie,brak stwierdzenia naruszenia,,,,by-year/2018/2018-10-18__PRAWOMOCNA__ZSOSS.440.113.2018.txt
10,2019-05-29,2019,PRAWOMOCNA,ZSOŚS.440.114.2018,0,umarzam postępowanie,brak stwierdzenia naruszenia,,,,by-year/2019/2019-05-29__PRAWOMOCNA__ZSOSS.440.114.2018.txt
