seq,date,status,signature,resolution,violation,violated_requirement,fine,rodo_articles,summary
85,2019-03-15,PRAWOMOCNA,ZSPR.421.3.2018,"nakłada na X. Sp. z o.o., za naruszenie stwierdzone w niniejszej decyzji, administra-",stwierdzając naruszenie przez X,obowiązek informacyjny przy pozyskiwaniu danych z innych źródeł (art. 14 RODO),,art.14;art.14ust.1;art.14ust.5lit.b;art.57ust.1;art.57;art.14ust.2;art.12ust.1;art.58ust.2lit.i;art.83ust.2;art.83ust.2lit.a;art.5ust.1lita;art.15;art.25;art.58ust.2;art.42;art.14ust1;art.83;art.83ust.5litb;art.83ust.1;art.83ust.5lit.b,"ZSPR.421.3.2018 — 2019-03-15 — PRAWOMOCNA: nakłada na X. Sp. z o.o., za naruszenie stwierdzone w niniejszej decyzji, administra-. Naruszenie: stwierdzając naruszenie przez X. Naruszony wymóg: obowiązek informacyjny przy pozyskiwaniu danych z innych źródeł (art. 14 RODO). Artykuły RODO (wykryte): art.14, art.14ust.1, art.14ust.5lit.b, art.57ust.1, art.57, art.14ust.2, art.12ust.1, art.58ust.2lit.i, art.83ust.2, art.83ust.2lit.a, art.5ust.1lita, art.15, art.25, art.58ust.2, art.42, art.14ust1, art.83, art.83ust.5litb, art.83ust.1, art.83ust.5lit.b."
90,2022-02-22,PRAWOMOCNA,ZSPR.440.280.2018,"udziela upomnienia (…) S.A. z siedzibą w A. przy ul. (…), za naruszenie art. 6 ust. 1 roz-",udziela upomnienia (…) S,podstawa prawna przetwarzania (art. 6 RODO),,art.58ust.2;art.6ust.1;art.6ust.1lit.f;art.5ust.1;art.5ust.1lit.e;art.6ust.1lit.b;art.58ust.2lit.b,"ZSPR.440.280.2018 — 2022-02-22 — PRAWOMOCNA: udziela upomnienia (…) S.A. z siedzibą w A. przy ul. (…), za naruszenie art. 6 ust. 1 roz-. Naruszenie: udziela upomnienia (…) S. Naruszony wymóg: podstawa prawna przetwarzania (art. 6 RODO). Artykuły RODO (wykryte): art.58ust.2, art.6ust.1, art.6ust.1lit.f, art.5ust.1, art.5ust.1lit.e, art.6ust.1lit.b, art.58ust.2lit.b."
134,2019-07-11,PRAWOMOCNA,ZSZZS.440.790.2018,udziela upomnienia Szkole Podstawowej w W. za nieprawidłowości w procesie przetwa-,"rzania danych osobowych, polegające na naruszeniu art",podstawa prawna przetwarzania (art. 6 RODO),,art.4ust.7;art.24ust.1;art.6ust.1;art.6ust.1lit.a;art.6ust.1lit.b;art.6ust.1lit.c;art.6ust.1lit.d;art.6ust.1lit.e;art.6ust.1lit.f;art.58ust.2lit.b,"ZSZZS.440.790.2018 — 2019-07-11 — PRAWOMOCNA: udziela upomnienia Szkole Podstawowej w W. za nieprawidłowości w procesie przetwa-. Naruszenie: rzania danych osobowych, polegające na naruszeniu art. Naruszony wymóg: podstawa prawna przetwarzania (art. 6 RODO). Artykuły RODO (wykryte): art.4ust.7, art.24ust.1, art.6ust.1, art.6ust.1lit.a, art.6ust.1lit.b, art.6ust.1lit.c, art.6ust.1lit.d, art.6ust.1lit.e, art.6ust.1lit.f, art.58ust.2lit.b."
139,2018-11-20,NIEPRAWOMOCNA,ZWAD.405.10.2018,"nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.10.2018 — 2018-11-20 — NIEPRAWOMOCNA: nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
140,2018-11-20,PRAWOMOCNA,ZWAD.405.11.2018,"nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.11.2018 — 2018-11-20 — PRAWOMOCNA: nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
141,2019-03-28,NIEPRAWOMOCNA,ZWAD.405.1274.2018,umarza w całości postępowanie w niniejszej sprawie.,,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.4;art.58ust.2lit.e;art.34;art.34ust.2,"ZWAD.405.1274.2018 — 2019-03-28 — NIEPRAWOMOCNA: umarza w całości postępowanie w niniejszej sprawie.. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.4, art.58ust.2lit.e, art.34, art.34ust.2."
142,2019-03-27,NIEPRAWOMOCNA,ZWAD.405.1383.2018,"nakazuję zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony danych oso-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.3lit.b;art.34;art.58ust.2lit.e;Art.34ust.1;art.34ust.2;art.33ust.3lit.b;art.34ust.4;Art.34ust.3litb,"ZWAD.405.1383.2018 — 2019-03-27 — NIEPRAWOMOCNA: nakazuję zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony danych oso-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.3lit.b, art.34, art.58ust.2lit.e, Art.34ust.1, art.34ust.2, art.33ust.3lit.b, art.34ust.4, Art.34ust.3litb."
143,2018-12-21,NIEPRAWOMOCNA,ZWAD.405.153.2018,"nakazuje ponowne zawiadomienie osób, których dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.153.2018 — 2018-12-21 — NIEPRAWOMOCNA: nakazuje ponowne zawiadomienie osób, których dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
144,2018-12-21,NIEPRAWOMOCNA,ZWAD.405.154.2018,"nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.154.2018 — 2018-12-21 — NIEPRAWOMOCNA: nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
145,2019-01-23,NIEPRAWOMOCNA,ZWAD.405.158.2018,"nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-",,zawiadomienie osób o naruszeniu (art. 34 RODO),,art.34ust.2;art.34ust.3lit.b;art.34ust.4;art.34ust.1;art.58ust.2lit.e;art.34;art.33ust.3lit.b;art.33lit.c;art.34ust.3;art.33ust3lit.c;art.33ust3lit.d;art.5ust.1lit.a;art.33ust.3lit.c,"ZWAD.405.158.2018 — 2019-01-23 — NIEPRAWOMOCNA: nakazuje ponowne zawiadomienie osoby, której dane dotyczą, o naruszeniu ochrony da-. Naruszony wymóg: zawiadomienie osób o naruszeniu (art. 34 RODO). Artykuły RODO (wykryte): art.34ust.2, art.34ust.3lit.b, art.34ust.4, art.34ust.1, art.58ust.2lit.e, art.34, art.33ust.3lit.b, art.33lit.c, art.34ust.3, art.33ust3lit.c, art.33ust3lit.d, art.5ust.1lit.a, art.33ust.3lit.c."
